Technologie;Data Engineering / Data Architecture;Data Science / AI;Microsoft Azure App Development;Microsoft Azure Administration;Front-End Development;Microsoft Back-End Development;Microsoft Low Code Development;Microsoft Integration Development;Java Back-End Development;Application Architecture;Infrastructure Engineering;Mobile Development;Way of Working (WoW);Product Owner / Analist / Requirements engineer;General;Opmerkingen Nico & Bas
Mutation testing;;;X;;X;X;X;X;X;;;X;;;;
eslint;;;;;X;;;;;;;;;;;
Automated UI testing;;;;;X;;;;;;;;;;;
Test Driven Development;;;X;;X;X;X;X;X;;;X;;;;
Acceptance Test Driven Development (ATDD);;;X;;X;X;X;X;X;;;X;X;X;;
Test data generatie / syntetic data;;;X;;X;X;X;X;X;;;X;;;;
Test data anonimisering / pseudonimisering;;;X;;X;X;X;X;X;;;X;;;;
Dynamic automated security testing (DAST);;;X;;X;X;X;X;X;;;X;;;;
Lean software development;;;;;;;;;;X;;;X;;;
Content Security Policy (browser);;;;;X;;;;;;;;;;;
Signals (front end);;;;;X;;;;;;;;;;;
Scaled Agile Framework (SAFe);;;;;;;;;;;;;X;;;
Workflow engines (i.e. Camunda);;;;;;;;;;X;;;;;;
Vendor assessments / Pakket selecties;;;;;;;;;;X;;;;;;
PHP based CMS (Drupal / Wordpress);;;;;X;;;;;;;;;;;
IT Governance (CoBIT, ISEA 3402, etc.);;;;;;;;;;;;;X;;;
Secure Software Development Lifecycle (SDLC, SSF);;;X;;X;X;X;X;X;;;X;;;;
Project Management (Prince2);;;;;;;;;;;;X;;;;
Headless CMS (storyblock);;;;;X;;;;;;;;;;;
NodeJS Platform / Serverside JavaScript;;;;;X;;;;;;;;;;;
Static site generator (Hugo, Gatsby, Docusaurus, etc);;;;;X;;;;;;;;;;;
